Rqt,Priority,Function,Requirement
705314,Medium,AP,Provide a report of discounts taken.
705315,Medium,AP,"List all discounts lost by any or all of the following items: vendor, time period, agency, or organizations within the agency."
705316,Medium,AP,"Provide a report of all issuances in a ""cancel pending"" status for more than a user-defined parameter number of days (e.g., ten  days)."
705317,Medium,AP,Produce an activity report showing all the daily online update activity in the system.
705318,Medium,AP,Produce an error report/listing that includes the error code and description.
705319,Medium,AP,Generate performance/operational reports on operations including the following: Number of transactions corrected.
705320,Medium,AP,Generate performance/operational reports on operations including the following: Number of garnishments processed.
705321,Medium,AP,Generate performance/operational reports on operations including the following: Number of liens processed.
705322,Medium,AP,Generate performance/operational reports on operations including the following: Number of warrants produced.
705323,Medium,AP,Generate performance/operational reports on operations including the following: Number of credit ach payments.
705324,High,AP,Vendor invoice entry/maintenance should be provided via an invoice entry screen. Invoice entry screen will utilize Web  technology to minimize the need for desktop hardware upgrades.
705325,High,AP,Provide for electronic invoice acceptance via XML or EDI.
705326,Medium,AP,Generate detailed exception reports for invoice rejections.
705327,High,AP,"Allow the entry of hard-copy invoices and track the agency for compliance with the prompt payment (payment w/in 45 days of  invoice or service performed, whichever is later)."
705328,Medium,AP,Carry forward pertinent purchase order receipt data to the invoice entry screen to reduce data entry and allow for entry of invoice  data required for matching/payment processing.
705329,Medium,AP,Capture the following invoice information: Invoice number.
705330,Medium,AP,Capture the following invoice information: Invoice date.
705331,Medium,AP,Capture the following invoice information: Invoice received date.
705332,Medium,AP,Capture the following invoice information: Invoice due date.
705333,Medium,AP,Capture the following invoice information: Purchase order number.
705334,Medium,AP,Capture the following invoice information: PO Date.
705335,Medium,AP,Capture the following invoice information: PO line number.
705336,Medium,AP,Capture the following invoice information: Vendor name.
705337,Medium,AP,Capture the following invoice information: Vendor number/mail code (updateable based on remit-to address).
705338,Medium,AP,Capture the following invoice information: Invoice line item number.
705339,Medium,AP,Capture the following invoice information: Quantity invoiced.
705340,Medium,AP,Capture the following invoice information: Quantity received.
705341,Medium,AP,Capture the following invoice information: Quantity ordered.
705342,Medium,AP,Capture the following invoice information: Quantity returned.
705343,Medium,AP,Capture the following invoice information: Received/Service Date.
705344,Medium,AP,Capture the following invoice information: Previous quantity invoiced.
705345,Medium,AP,Capture the following invoice information: Unit of measure.
705346,Medium,AP,Capture the following invoice information: Line Item description.
705347,Medium,AP,Capture the following invoice information: Unit cost.
705348,Medium,AP,Capture the following invoice information: Line item total cost.
705349,Medium,AP,Capture the following invoice information: Invoice total cost.
705350,Medium,AP,Capture the following invoice information: Payment terms.
705351,Medium,AP,Capture the following invoice information: Discount date.
705352,Medium,AP,Capture the following invoice information: Freight.
705353,Medium,AP,Capture the following invoice information: Freight terms.
705354,Medium,AP,Capture the following invoice information: Account distributions.
705355,Medium,AP,Capture the following invoice information: Warrant number (able to drill-down to see all invoices paid by the warrant).
705356,Medium,AP,Capture the following invoice information: Warrant amount.
705357,Medium,AP,Capture the following invoice information: Warrant date.
705358,Medium,AP,Capture the following invoice information: ACH number (able to drill-down to see all invoices paid by the ACH transaction).
